"","WordVec_1","WordVec_2","WordVec_3","WordVec_4","WordVec_5","WordVec_6","WordVec_7","WordVec_8","WordVec_9","WordVec_10","WordVec_11","WordVec_12","WordVec_13","WordVec_14","WordVec_15"
"""""	""					iftrailtempk""",0.24343909160234,0.0139418167527765,0.73533290065825,-0.461059830384329,0.00978706777095795,-0.0405095408204943,0.117652595741674,-0.527999758021906,-0.0885771296452731,-0.413530746707693,-0.134168135002255,0.433908693259582,0.0579342325218022,-0.0935512704309076,0.222426482476294
"""""	""					le",0.732325303956043,0.388248905274192,-0.618751917768228,0.353906472937025,-0.529309207185056,-0.0760251678722099,-0.524759425806393,0.430681174144836,0.108951973042827,-0.0368391328111747,0.85707760961343,0.282881318148781,0.0909497621611013,-0.103565019345169,0.176969049616252
"""""	""					leadik""",0.216172305867076,-0.3243371413555,-0.648966906825081,-0.0677851759828627,0.0280030274298042,0.0383346662856638,0.176016711164266,0.28153343568556,-0.347332362085581,-0.0499879252165556,0.661556867416948,-0.166294740745798,0.615843034582213,-0.0848859003745019,0.0895951043348759
"""""	""					tx",-0.936842963491542,0.246491103062327,-0.20249218215165,0.288983798779528,0.00700652173290656,0.329419857240897,-0.782438812740705,0.30305126452,0.0199621912097612,0.0211517212516706,-0.226872432210719,-0.222414333531475,0.508812248514578,-0.552517977367426,0.0241258634835658
"""""	""				char",0.380034449344004,-0.0752724292120554,0.672451709764668,0.182196454676368,-0.105791985057693,0.189206832017008,-0.290022081520552,0.183228055139145,0.263546324960976,0.307935499595676,-0.136763402285586,0.55750667279642,-0.475681623014883,0.563484571612122,-0.463984492631733
"""""	""				closnoitemirhsjclosnoitemirhsj""",-0.110013043740764,0.900388196343556,0.186414779629558,-0.303256162209436,0.241209256462753,-0.168949325336143,0.595273398794234,0.554587468504906,-0.0910686575807631,0.163696235278621,0.35863635642454,-0.455271100858226,-0.13256676401943,-0.128421309636906,0.233877298189327
"""""	""				closnoitemnlhscloszilhs""",-0.0315361509565264,-0.369766854913905,0.563189308391884,0.534688632702455,0.128473097458482,-0.415574172278866,-0.926268618553877,0.246408598730341,0.335798540851101,-0.12846416933462,0.274550406262279,-0.358327825553715,0.254483667900786,-0.237162155099213,0.414135016966611
"""""	""				closnoitemnrhsjtemp""",0.203336418606341,0.667634511832148,-0.370815222617239,-0.215362401446328,-0.295966251753271,-0.121139428578317,-0.299924201797694,-0.296153749339283,0.742793726269156,0.863927002996206,0.18300083023496,-0.208570750895888,0.0110859274864197,-0.0912603719625622,0.378530917223543
"""""	""				count""",-0.397725558141246,-0.334882694529369,-0.391335939755663,0.650158528238535,0.226404571672902,-0.000469714868813753,0.342116468120366,-0.506702621933073,0.737538260174915,0.162000102456659,0.475688009290025,-0.194241208024323,0.297708163969219,-0.35689195478335,0.667905131122097
"""""	""				currentindex",-0.553661263664762,-0.059327478467252,0.413433174393249,-0.109682143156353,0.413808682682206,0.080447691843729,-0.564476157867118,-0.142489897689631,-0.0888150064497891,-0.164431075883182,-0.79998051935199,0.566097074874011,-0.00789310128908351,0.156979928350348,-0.681342651922396
"""""	""				else""",0.472966794390231,0.328478211071342,-0.549840632127598,-0.0362377162091434,0.55261672870256,0.0729959513992071,-0.161435279529542,-0.461616930784658,-0.829556895187125,-0.280599130084738,-0.0210247347131371,0.584921061526984,0.716391453519464,-0.319996807957068,0.0341545843984932
"""""	""				forkkarrik""",0.0313205383718014,-0.215485768159851,-0.0735456985421479,0.838369357166812,-0.0267688429448754,-0.589506945572793,0.281650981167331,-0.0298101985827088,-0.128446903312579,-0.961266294587404,0.277812747051939,0.0390127424616367,0.251529531087726,-0.566759762819856,-0.248355046845973
"""""	""				gjrhsm""",0.0347945173271,-0.37621209025383,0.0261758163105696,-0.565180086065084,0.64295868226327,-0.12582526402548,0.194608707679436,0.0425013154745102,0.625945730134845,0.0754094801377505,0.403768176445737,0.253159366780892,0.869658011943102,-0.268059778492898,0.0464456488844007
"""""	""				ifgramirhsjcounttermk""",0.428986898623407,0.022254987154156,-0.810737536288798,0.0910560707561672,0.571487087989226,-0.0935745169408619,0.902103344444185,0.550252608954906,0.784724359866232,-0.0623569411691278,0.293756942497566,0.535853692097589,0.684933562763035,0.120494830422103,0.334169723792002
"""""	""				ifvi",-0.250771892712882,0.433518766016188,-0.168141234653024,0.118058137149357,-0.248655273966492,-0.107739517091115,-0.365154873240028,0.0898888606203967,-0.20240691222743,-0.171090732975681,-0.0611000452013447,-0.0894200058902851,-0.630691621500446,-0.436325705111638,0.0442946626782912
"""""	""				jnovar""",0.537031951360404,0.397578791482374,0.585968270432204,0.0486215087585151,-0.381481089629233,0.728867886122316,-0.338201249716803,0.195880374638364,0.0678437629248947,0.614737659692764,-0.0309283293318003,0.139549146872014,-0.0526044452562928,-0.122850840678439,-0.601996408542618
"""""	""				rightIn",0.360845077298891,0.550258868876832,0.000683750765017477,-0.178034563342978,-0.196851944696764,0.0714415497575775,-0.455705420635324,-0.0178299263665817,-0.0358397299903042,0.242490116717122,0.23424700198317,-0.402783813846664,0.185044210590489,-0.229273406964124,0.111574268925613
